ticker,name,sector_approx
ABSA,Absa Bank Kenya Plc,Banking
AMAC,Africa Mega Agricorp Plc,Agricultural
ARM,ARM Cement Limited,Construction & Allied
BAMB,Bamburi Cement Limited,Construction & Allied
BAT,British American Tobacco Kenya,Manufacturing & Allied
BKG,BK Group Plc,Banking
BOC,BOC Kenya Limited,Construction & Allied
BRIT,Britam Holdings Limited,Insurance
CABL,East African Cables Limited,Construction & Allied
CARB,Carbacid Investments Limited,Manufacturing & Allied
CGEN,Car and General Kenya Limited,Automobiles & Accessories
CIC,CIC Insurance Group Limited,Insurance
COOP,Co-operative Bank of Kenya Limited,Banking
CRWN,Crown Paints Kenya Limited,Construction & Allied
CTUM,Centum Investment Company,Investment
DCON,Deacons East Africa Plc,Commercial & Services
DTK,Diamond Trust Bank Kenya Limited,Banking
EABL,East African Breweries Limited,Manufacturing & Allied
EGAD,Eaagads Limited,Agricultural
EQTY,Equity Group Holdings Limited,Banking
EVRD,Everready East Africa Limited,Manufacturing & Allied
FTGH,Flame Tree Group Holdings Limited,Manufacturing & Allied
GLD,Absa NewGold ETF,Exchange Traded Fund
HAFR,Home Afrika Limited,Investment
HBE,Homeboyz Entertainment,Commercial & Services
HFCK,HF Group Limited,Banking
IMH,I&M Holdings Plc,Banking
JUB,Jubilee Holdings Limited,Insurance
KAPC,Kapchorua Tea Company Limited,Agricultural
KCB,KCB Group,Banking
KEGN,KenGen Plc,Energy & Petroleum
KNRE,Kenya Re-Insurance Corporation Ltd,Insurance
KPLC,Kenya Power & Lighting Company,Energy & Petroleum
KPLC-P4,Kenya Power 4% Preference Shares,Energy & Petroleum
KPLC-P7,Kenya Power 7% Preference Shares,Energy & Petroleum
KQ,Kenya Airways Limited,Commercial & Services
KUKZ,Kakuzi Limited,Agricultural
KURV,Kurwitu Ventures Limited,Investment
LAPR,Laptrust Imara Income-REIT,Real Estate Investment Trust
LBTY,Liberty Kenya Holdings Limited,Insurance
LIMT,Limuru Tea Company Limited,Agricultural
LKL,Longhorn Publishers Limited,Commercial & Services
MSC,Mumias Sugar Company Limited,Agricultural
NBV,Nairobi Business Ventures Ltd,Commercial & Services
NCBA,NCBA Group Plc,Banking
NMG,Nation Media Group,Commercial & Services
NSE,Nairobi Securities Exchange Limited,Investment Services
OCH,Olympia Capital Holdings Limited,Investment
PORT,East African Portland Cement Co. Ltd,Construction & Allied
SASN,Sasini Tea and Coffee Limited,Agricultural
SBIC,Stanbic Holdings Limited,Banking
SCAN,ScanGroup Limited,Commercial & Services
SCBK,Standard Chartered Bank Kenya Limited,Banking
SCOM,Safaricom Plc,Telecommunication
SGL,Standard Group Limited,Commercial & Services
SKL,Shri Krishana Overseas Ltd,Agricultural
SLAM,Sanlam Kenya Plc,Insurance
SMER,Sameer Africa Plc,Automobiles & Accessories
SMWF,Satrix MSCI World Feeder ETF,Exchange Traded Fund
TCL,Trans-Century Plc,Investment
TOTL,TotalEnergies Marketing Kenya Plc,Energy & Petroleum
TPSE,TPS Eastern Africa (Serena) Ltd,Commercial & Services
UCHM,Uchumi Supermarket Limited,Commercial & Services
UMME,Umeme Limited,Energy & Petroleum
UNGA,Unga Group Limited,Agricultural
WTK,Williamson Tea Kenya Plc,Agricultural
XPRS,Express Kenya Limited,Commercial & Services
